symbol,industry,beta,last_price,rs_1m
SHRIRAMFIN.NS,Financial Services,2.09,987.27,1.59
FORCEMOT.NS,Automobile and Auto Components,2.06,18523.0,-9.98
ASHOKLEY.NS,Capital Goods,2.05,157.19,-4.18
TMCV.NS,Capital Goods,2.05,408.35,2.76
NAM-INDIA.NS,Financial Services,2.02,1175.57,6.41
PCBL.NS,Chemicals,2.0,307.61,4.38
AIIL.NS,Financial Services,1.97,549.95,7.75
INOXWIND.NS,Capital Goods,1.94,92.89,-5.89
MOTILALOFS.NS,Financial Services,1.94,948.8,7.4
INDIGO.NS,Services,1.93,5021.1,9.92
PGEL.NS,Consumer Durables,1.88,567.5,18.81
BLS.NS,Consumer Services,1.84,267.1,-2.34
GODREJPROP.NS,Realty,1.83,1790.25,0.17
RAILTEL.NS,Telecommunication,1.83,322.09,-3.15
DEEPAKFERT.NS,Chemicals,1.82,1602.6,8.41
ANANTRAJ.NS,Realty,1.81,531.43,3.27
CHOLAFIN.NS,Financial Services,1.81,1718.13,6.42
JKTYRE.NS,Automobile and Auto Components,1.81,406.41,4.61
LODHA.NS,Realty,1.81,923.41,0.57
ADANIGREEN.NS,Power,1.79,1549.9,8.22
RPOWER.NS,Power,1.79,26.48,-2.55
JMFINANCIL.NS,Financial Services,1.78,128.78,-2.82
JYOTICNC.NS,Capital Goods,1.78,730.5,7.3
ABCAPITAL.NS,Financial Services,1.77,391.95,6.16
LTF.NS,Financial Services,1.76,288.7,1.73
MOTHERSON.NS,Automobile and Auto Components,1.76,145.6,5.7
ANGELONE.NS,Financial Services,1.75,353.71,0.79
TARIL.NS,Capital Goods,1.74,351.5,10.33
CDSL.NS,Financial Services,1.71,1359.4,11.07
AARTIIND.NS,Chemicals,1.7,486.2,-0.87
PRESTIGE.NS,Realty,1.7,1510.6,6.31
TTML.NS,Telecommunication,1.7,44.66,2.58
IRCON.NS,Construction,1.68,139.13,-4.04
KALYANKJIL.NS,Consumer Durables,1.68,381.1,4.88
LTFOODS.NS,Fast Moving Consumer Goods,1.68,385.72,-6.23
BLUEJET.NS,Healthcare,1.67,521.5,6.71
DLF.NS,Realty,1.67,619.82,4.34
HDFCAMC.NS,Financial Services,1.67,2689.9,-1.96
HINDCOPPER.NS,Metals & Mining,1.67,510.75,-8.0
MMTC.NS,Services,1.67,75.18,14.29
HINDPETRO.NS,Oil Gas & Consumable Fuels,1.66,373.98,-4.12
NBCC.NS,Construction,1.66,109.79,12.01
GRSE.NS,Capital Goods,1.65,2860.6,5.29
OLECTRA.NS,Automobile and Auto Components,1.65,1523.2,23.37
ADANIENT.NS,Metals & Mining,1.64,3059.6,5.8
AMBUJACEM.NS,Construction Materials,1.64,428.0,-4.29
MAHABANK.NS,Financial Services,1.63,89.47,10.29
M&MFIN.NS,Financial Services,1.63,287.48,-6.35
PAYTM.NS,Financial Services,1.63,1089.3,-2.36
UNIONBANK.NS,Financial Services,1.63,171.55,2.97
ELECON.NS,Capital Goods,1.61,545.05,-1.76
BAJFINANCE.NS,Financial Services,1.6,962.38,1.19
BANDHANBNK.NS,Financial Services,1.6,206.54,4.15
DIXON.NS,Consumer Durables,1.59,12336.0,2.71
LT.NS,Construction,1.59,4201.3,2.55
ADANIENSOL.NS,Power,1.58,1539.4,8.0
ABREL.NS,Realty,1.58,1311.51,0.56
BANKINDIA.NS,Financial Services,1.58,146.09,1.71
KAYNES.NS,Capital Goods,1.58,3283.5,-5.06
TECHNOE.NS,Construction,1.58,1094.1,-21.93
CHOICEIN.NS,Financial Services,1.57,727.35,3.9
ENGINERSIN.NS,Construction,1.57,258.5,11.46
J&KBANK.NS,Financial Services,1.57,162.35,13.7
IIFL.NS,Financial Services,1.56,537.8,9.98
BEML.NS,Capital Goods,1.55,1762.9,-4.83
GMRAIRPORT.NS,Services,1.55,108.18,10.02
CANBK.NS,Financial Services,1.54,134.82,2.55
ETERNAL.NS,Consumer Services,1.54,263.65,4.83
FIVESTAR.NS,Financial Services,1.54,501.63,8.76
IFCI.NS,Financial Services,1.54,83.36,33.38
RVNL.NS,Construction,1.54,245.43,-11.26
AMBER.NS,Consumer Durables,1.53,7906.5,4.35
MUTHOOTFIN.NS,Financial Services,1.53,3216.0,-5.74
PNBHOUSING.NS,Financial Services,1.53,1002.58,-8.54
SYRMA.NS,Capital Goods,1.53,1334.83,24.77
ADANIPORTS.NS,Services,1.52,1827.2,0.16
ABLBL.NS,Consumer Services,1.52,98.01,-5.39
IDBI.NS,Financial Services,1.52,87.65,18.39
M&M.NS,Automobile and Auto Components,1.52,3031.56,-4.03
TMPV.NS,Automobile and Auto Components,1.52,361.5,-3.96
CHOLAHLDNG.NS,Financial Services,1.51,1587.85,-3.81
CEATLTD.NS,Automobile and Auto Components,1.5,3475.13,3.77
JBMA.NS,Automobile and Auto Components,1.5,728.1,12.52
PETRONET.NS,Oil Gas & Consumable Fuels,1.5,286.5,1.06
TITAGARH.NS,Capital Goods,1.5,920.6,9.02
UCOBANK.NS,Financial Services,1.5,27.57,6.33
AEGISVOPAK.NS,Oil Gas & Consumable Fuels,1.49,246.11,16.86
INDIANB.NS,Financial Services,1.49,861.1,3.06
JIOFIN.NS,Financial Services,1.48,242.81,-0.94
BSE.NS,Financial Services,1.47,4022.1,-7.64
EICHERMOT.NS,Automobile and Auto Components,1.47,7560.33,1.42
BANKBARODA.NS,Financial Services,1.46,286.05,6.85
LLOYDSME.NS,Metals & Mining,1.46,1785.6,-2.44
SONATSOFTW.NS,Information Technology,1.46,291.78,6.7
BPCL.NS,Oil Gas & Consumable Fuels,1.45,308.6,-1.5
HBLENGINE.NS,Capital Goods,1.45,817.65,6.15
