symbol,industry,beta,sessions,as_of
SHRIRAMFIN,Financial Services,2.022,63,2025-07-21
RVNL,Construction,1.982,63,2025-07-21
MCX,Financial Services,1.975,63,2025-07-21
MOTILALOFS,Financial Services,1.905,63,2025-07-21
HUDCO,Financial Services,1.863,63,2025-07-21
BAJAJHLDNG,Financial Services,1.852,63,2025-07-21
IDEA,Telecommunication,1.836,63,2025-07-21
IREDA,Financial Services,1.836,63,2025-07-21
RECLTD,Financial Services,1.81,63,2025-07-21
ADANIENT,Metals & Mining,1.802,63,2025-07-21
GODREJPROP,Realty,1.776,63,2025-07-21
NAUKRI,Consumer Services,1.774,63,2025-07-21
WAAREEENER,Capital Goods,1.755,63,2025-07-21
DLF,Realty,1.71,63,2025-07-21
OFSS,Information Technology,1.692,63,2025-07-21
ADANIENSOL,Power,1.689,63,2025-07-21
PFC,Financial Services,1.68,63,2025-07-21
BHEL,Capital Goods,1.653,63,2025-07-21
INDHOTEL,Consumer Services,1.643,63,2025-07-21
ADANIGREEN,Power,1.642,63,2025-07-21
LODHA,Realty,1.592,63,2025-07-21
IRFC,Financial Services,1.588,63,2025-07-21
SAIL,Metals & Mining,1.578,63,2025-07-21
HDFCAMC,Financial Services,1.577,63,2025-07-21
ETERNAL,Consumer Services,1.571,63,2025-07-21
SUZLON,Capital Goods,1.567,63,2025-07-21
TRENT,Consumer Services,1.543,63,2025-07-21
NATIONALUM,Metals & Mining,1.533,63,2025-07-21
JIOFIN,Financial Services,1.533,63,2025-07-21
PRESTIGE,Realty,1.53,63,2025-07-21
MOTHERSON,Automobile and Auto Components,1.527,63,2025-07-21
NHPC,Power,1.52,63,2025-07-21
ABCAPITAL,Financial Services,1.513,63,2025-07-21
HINDZINC,Metals & Mining,1.499,63,2025-07-21
JSWENERGY,Power,1.498,63,2025-07-21
INDIGO,Services,1.493,63,2025-07-21
COFORGE,Information Technology,1.489,63,2025-07-21
INFY,Information Technology,1.48,63,2025-07-21
ADANIPOWER,Power,1.477,63,2025-07-21
VEDL,Metals & Mining,1.452,63,2025-07-21
SWIGGY,Consumer Services,1.445,63,2025-07-21
LTF,Financial Services,1.438,63,2025-07-21
LICHSGFIN,Financial Services,1.422,63,2025-07-21
PERSISTENT,Information Technology,1.398,63,2025-07-21
M&M,Automobile and Auto Components,1.397,63,2025-07-21
HCLTECH,Information Technology,1.397,63,2025-07-21
M&MFIN,Financial Services,1.393,63,2025-07-21
OBEROIRLTY,Realty,1.388,63,2025-07-21
TATAELXSI,Information Technology,1.381,63,2025-07-21
TATAPOWER,Power,1.376,63,2025-07-21
