Company Name,Industry,Symbol,Series,ISIN Code
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
DLF Ltd.,Realty,DLF,EQ,INE271C01023
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
