symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl_gross,exit_reason
NIFTY 50,LONG,2023-10-13T14:05:00+05:30,2023-10-13T14:50:00+05:30,19776.7,19766.0931969503414715,5,-53.0340152482926425,SL-HIT
NIFTY 50,SHORT,2023-10-17T09:55:00+05:30,2023-10-17T15:05:00+05:30,19831.4,19805.2,5,131,EOD-SQUAREOFF
NIFTY 50,LONG,2023-10-18T10:05:00+05:30,2023-10-18T10:45:00+05:30,19836.1,19814.5,5,-108,SL-HIT
NIFTY 50,LONG,2023-10-19T11:25:00+05:30,2023-10-19T15:05:00+05:30,19640.9,19640.6,5,-1.5,EOD-SQUAREOFF
NIFTY 50,SHORT,2023-10-23T10:25:00+05:30,2023-10-23T14:55:00+05:30,19471.8,19370.8,5,505,TARGET-HIT
NIFTY 50,LONG,2023-11-03T09:50:00+05:30,2023-11-03T14:50:00+05:30,19249.2,19217.3,5,-159.5,SL-HIT
NIFTY 50,SHORT,2023-11-13T09:35:00+05:30,2023-11-13T10:05:00+05:30,19449.2,19477.1,5,-139.5,SL-HIT
NIFTY 50,LONG,2023-11-23T09:55:00+05:30,2023-11-23T10:35:00+05:30,19844.2,19810,5,-171,SL-HIT
NIFTY 50,SHORT,2023-11-28T09:30:00+05:30,2023-11-28T14:25:00+05:30,19821.4,19843,5,-108,SL-HIT
NIFTY 50,LONG,2024-01-02T10:45:00+05:30,2024-01-02T15:05:00+05:30,21609.9,21688.95,4,316.2,EOD-SQUAREOFF
NIFTY 50,LONG,2024-01-08T11:10:00+05:30,2024-01-08T11:55:00+05:30,21620,21582.8,4,-148.8,SL-HIT
NIFTY 50,LONG,2024-01-12T10:05:00+05:30,2024-01-12T15:05:00+05:30,21814.1,21892.55,4,313.8,EOD-SQUAREOFF
NIFTY 50,LONG,2024-01-17T09:45:00+05:30,2024-01-17T10:40:00+05:30,21829.3,21757.3,4,-288,SL-HIT
NIFTY 50,SHORT,2024-01-18T09:30:00+05:30,2024-01-18T10:10:00+05:30,21422.5,21396.7141962108950965,4,103.143215156419614,SL-HIT
NIFTY 50,SHORT,2024-02-08T11:00:00+05:30,2024-02-08T15:05:00+05:30,21753.5,21702.5,4,204,EOD-SQUAREOFF
NIFTY 50,SHORT,2024-02-16T10:15:00+05:30,2024-02-16T13:05:00+05:30,22026.1,22064,4,-151.6,SL-HIT
NIFTY 50,LONG,2024-02-19T11:15:00+05:30,2024-02-19T11:30:00+05:30,22146.2,22117.5,4,-114.8,SL-HIT
NIFTY 50,SHORT,2024-02-20T10:20:00+05:30,2024-02-20T12:05:00+05:30,22124.9,22160.82978201437852,4,-143.71912805751408,SL-HIT
NIFTY 50,SHORT,2024-02-21T14:10:00+05:30,2024-02-21T15:05:00+05:30,22112.5,22037.5,4,300,EOD-SQUAREOFF
NIFTY 50,LONG,2024-03-05T10:25:00+05:30,2024-03-05T13:55:00+05:30,22300.4,22351.9617802490149803,4,206.2471209960599212,SL-HIT
NIFTY 50,LONG,2024-03-11T09:40:00+05:30,2024-03-11T10:15:00+05:30,22474.1,22445.5,4,-114.4,SL-HIT
NIFTY 50,LONG,2024-03-12T10:50:00+05:30,2024-03-12T15:05:00+05:30,22302.1,22353.75,4,206.6,EOD-SQUAREOFF
NIFTY 50,LONG,2024-03-19T11:10:00+05:30,2024-03-19T11:45:00+05:30,21861.8,21827.3,4,-138,SL-HIT
NIFTY 50,LONG,2024-03-20T09:30:00+05:30,2024-03-20T10:00:00+05:30,21868.3,21826.5,4,-167.2,SL-HIT
NIFTY 50,LONG,2024-03-28T09:35:00+05:30,2024-03-28T10:40:00+05:30,22230.3,22332.7,4,409.6,TARGET-HIT
NIFTY 50,SHORT,2024-04-15T09:35:00+05:30,2024-04-15T10:00:00+05:30,22268.8,22332.2,4,-253.6,SL-HIT
NIFTY 50,SHORT,2024-05-07T10:50:00+05:30,2024-05-07T11:00:00+05:30,22300,22339,4,-156,SL-HIT
NIFTY 50,LONG,2024-06-14T09:30:00+05:30,2024-06-14T15:05:00+05:30,23359.8,23484.1,4,497.2,EOD-SQUAREOFF
NIFTY 50,LONG,2024-07-09T11:40:00+05:30,2024-07-09T15:05:00+05:30,24399,24437.05,4,152.2,EOD-SQUAREOFF
NIFTY 50,SHORT,2024-07-10T09:45:00+05:30,2024-07-10T10:25:00+05:30,24387.9,24261.4,4,506,TARGET-HIT
NIFTY 50,LONG,2024-07-12T09:40:00+05:30,2024-07-12T10:00:00+05:30,24420.9,24380.8,4,-160.4,SL-HIT
NIFTY 50,SHORT,2024-07-23T12:25:00+05:30,2024-07-23T12:35:00+05:30,24142.2,24253.3,4,-444.4,SL-HIT
NIFTY 50,SHORT,2024-07-25T13:00:00+05:30,2024-07-25T14:05:00+05:30,24384.9,24409.2,4,-97.2,SL-HIT
NIFTY 50,SHORT,2024-07-30T09:35:00+05:30,2024-07-30T10:45:00+05:30,24852.1,24897.7,4,-182.4,SL-HIT
NIFTY 50,SHORT,2024-08-01T11:45:00+05:30,2024-08-01T14:45:00+05:30,24990.7,25002.1912829116139382,4,-45.9651316464557528,SL-HIT
NIFTY 50,SHORT,2024-08-06T13:35:00+05:30,2024-08-06T15:05:00+05:30,24083.3,24001.3,4,328,EOD-SQUAREOFF
NIFTY 50,LONG,2024-08-28T11:30:00+05:30,2024-08-28T14:55:00+05:30,25091.4,25071.0690314987988556,3,-60.9929055036034332,SL-HIT
NIFTY 50,SHORT,2024-09-18T13:35:00+05:30,2024-09-18T13:50:00+05:30,25307.7,25343.6,3,-107.7,SL-HIT
NIFTY 50,LONG,2024-10-22T10:30:00+05:30,2024-10-22T12:35:00+05:30,24692,24624.9,4,-268.4,SL-HIT
NIFTY 50,LONG,2024-11-04T09:35:00+05:30,2024-11-04T09:55:00+05:30,24080.8,24022.7,4,-232.4,SL-HIT
NIFTY 50,SHORT,2024-11-13T09:30:00+05:30,2024-11-13T15:05:00+05:30,23784.3,23517.95,4,1065.4,EOD-SQUAREOFF
NIFTY 50,LONG,2024-12-03T10:15:00+05:30,2024-12-03T15:05:00+05:30,24369.8,24468.95,4,396.6,EOD-SQUAREOFF
NIFTY 50,LONG,2024-12-04T09:40:00+05:30,2024-12-04T10:25:00+05:30,24561.6,24525.1,4,-146,SL-HIT
NIFTY 50,SHORT,2024-12-05T10:55:00+05:30,2024-12-05T12:05:00+05:30,24333.6,24394.5,4,-243.6,SL-HIT
NIFTY 50,LONG,2024-12-13T11:55:00+05:30,2024-12-13T15:05:00+05:30,24545.3,24743.8,4,794,EOD-SQUAREOFF
NIFTY 50,LONG,2024-12-17T10:05:00+05:30,2024-12-17T10:25:00+05:30,24515,24477.3,4,-150.8,SL-HIT
NIFTY 50,SHORT,2024-12-20T09:45:00+05:30,2024-12-20T10:20:00+05:30,23862.7,23945.6,4,-331.6,SL-HIT
NIFTY 50,LONG,2024-12-24T10:30:00+05:30,2024-12-24T10:45:00+05:30,23864.5,23825.8,4,-154.8,SL-HIT
NIFTY 50,LONG,2024-12-30T13:55:00+05:30,2024-12-30T14:25:00+05:30,23665.9,23620.2,4,-182.8,SL-HIT
NIFTY 50,SHORT,2025-01-08T09:30:00+05:30,2025-01-08T09:40:00+05:30,23629.1,23671.6,4,-170,SL-HIT
NIFTY 50,SHORT,2025-01-09T09:30:00+05:30,2025-01-09T15:05:00+05:30,23608.6,23515.65,4,371.8,EOD-SQUAREOFF
