Sector,Ticker,1W_RS,1M_RS,3M_RS,Composite,Mom_of_Mom,Quadrant
Nifty Metal,^CNXMETAL,2.17,4.89,20.01,8.61,1.13,WEAKENING
Nifty Pharma,^CNXPHARMA,-1.74,7.0,16.35,7.18,-4.93,WEAKENING
Nifty Energy,^CNXENERGY,1.94,1.59,19.66,7.12,-1.51,LEADING
Nifty Auto,^CNXAUTO,1.81,3.99,2.5,2.89,2.63,WEAKENING
Nifty Infra,^CNXINFRA,0.15,1.17,5.01,2.02,-1.32,WEAKENING
Nifty Reality,^CNXREALTY,1.41,0.44,3.26,1.58,0.65,LEADING
Nifty Media,^CNXMEDIA,1.4,-2.39,6.62,1.45,0.77,LEADING
Nifty Private Bank,NIFTY_PVT_BANK.NS,1.75,1.59,-1.02,0.85,2.25,LEADING
Nifty IT,^CNXIT,0.66,2.28,-1.22,0.74,2.01,WEAKENING
Nifty FMCG,^CNXFMCG,-1.3,-1.08,3.3,0.17,-2.4,WEAKENING
Nifty Bank,^NSEBANK,1.95,-0.23,-3.42,-0.53,2.27,IMPROVING
Nifty PSU Bank,^CNXPSUBANK,2.55,-3.98,-7.71,-3.14,2.26,IMPROVING
