industry,avg_weighted_return,median_weighted_return,std_weighted_return,stock_count,avg_return_1w,avg_return_1m,avg_return_3m,avg_rs_1w,avg_rs_1m,avg_rs_3m,avg_weighted_rs
Power,13.04,12.26,5.71,17,9.84,17.44,14.45,8.58,12.25,21.28,12.22
Capital Goods,10.3,9.31,9.07,63,6.39,15.11,12.86,5.13,9.91,19.7,9.48
Metals & Mining,10.13,9.66,6.68,18,5.38,15.65,13.74,4.12,10.45,20.57,9.31
Textiles,7.45,7.87,3.0,5,3.23,13.11,9.51,1.97,7.92,16.34,6.63
Construction,7.33,6.37,4.99,13,6.34,14.87,-1.53,5.08,9.68,5.31,6.51
Services,7.27,4.38,8.31,14,7.0,11.22,2.01,5.74,6.02,8.85,6.45
Consumer Durables,5.27,5.06,5.16,16,5.51,10.04,-1.34,4.25,4.85,5.5,4.42
Telecommunication,4.5,-0.04,9.31,10,3.49,11.21,-3.03,2.23,6.01,3.81,3.68
Financial Services,4.32,3.67,5.61,101,3.59,9.23,-1.24,2.33,4.04,5.59,3.5
Chemicals,4.19,3.34,4.23,26,3.48,8.5,-0.51,2.22,3.31,6.33,3.37
Automobile and Auto Components,4.16,2.86,6.15,37,1.46,12.25,-1.22,0.21,7.06,5.62,3.34
Diversified,3.66,3.32,7.36,3,4.54,8.78,-6.23,3.28,3.58,0.61,2.84
Oil Gas & Consumable Fuels,3.65,3.14,4.99,18,4.23,3.49,2.44,2.97,-1.7,9.28,2.83
Fast Moving Consumer Goods,3.45,2.33,5.05,28,3.51,7.26,-2.43,2.25,2.07,4.41,2.63
Consumer Services,2.97,2.64,4.17,29,2.93,10.41,-8.06,1.67,5.21,-1.23,2.15
Healthcare,2.53,2.51,3.78,49,2.18,5.8,-1.52,0.92,0.61,5.31,1.71
Realty,2.24,3.46,4.04,11,3.2,11.08,-13.44,1.94,5.89,-6.6,1.42
Information Technology,2.25,1.67,4.9,27,4.57,11.55,-18.48,3.31,6.35,-11.64,1.36
Construction Materials,1.81,0.86,2.41,11,1.34,8.55,-7.12,0.08,3.35,-0.29,0.99
Media Entertainment & Publication,1.55,-0.5,6.47,4,2.41,3.69,-3.84,1.15,-1.5,2.99,0.73
