symbol,industry,beta,last_price,rs_1m,as_of
BANDHANBNK.NS,Financial Services,2.3,175.1,4.4,2026-08-21
ABCAPITAL.NS,Financial Services,2.19,413.0,2.82,2026-08-21
JIOFIN.NS,Financial Services,2.14,244.0,2.16,2026-08-21
JUBLFOOD.NS,Consumer Services,2.07,506.75,19.12,2026-08-21
ABFRL.NS,Consumer Services,1.96,54.35,-5.42,2026-08-21
SHRIRAMFIN.NS,Financial Services,1.85,1130.0,10.39,2026-08-21
CHOLAFIN.NS,Financial Services,1.83,1862.9,5.99,2026-08-21
SBICARD.NS,Financial Services,1.75,649.0,2.85,2026-08-21
BALRAMCHIN.NS,Fast Moving Consumer Goods,1.72,729.35,17.5,2026-08-21
360ONE.NS,Financial Services,1.66,1199.0,6.73,2026-08-21
RBLBANK.NS,Financial Services,1.65,392.5,9.47,2026-08-21
URBANCO.NS,Consumer Services,1.65,158.6,20.19,2026-08-21
PINELABS.NS,Financial Services,1.64,156.91,5.68,2026-08-21
GABRIEL.NS,Automobile and Auto Components,1.53,1420.6,2.36,2026-08-21
AIIL.NS,Financial Services,1.52,552.25,1.94,2026-08-21
TBOTEK.NS,Consumer Services,1.52,1696.5,16.68,2026-08-21
LTF.NS,Financial Services,1.51,317.15,2.84,2026-08-21
PAYTM.NS,Financial Services,1.51,1632.0,25.14,2026-08-21
CIEINDIA.NS,Automobile and Auto Components,1.49,401.05,-5.11,2026-08-21
SWIGGY.NS,Consumer Services,1.49,282.5,10.32,2026-08-21
AADHARHFC.NS,Financial Services,1.45,462.55,-8.59,2026-08-21
BAJFINANCE.NS,Financial Services,1.45,1095.0,6.08,2026-08-21
MOTILALOFS.NS,Financial Services,1.43,990.0,11.5,2026-08-21
EIHOTEL.NS,Consumer Services,1.42,302.75,-8.86,2026-08-21
CROMPTON.NS,Consumer Durables,1.41,252.0,-1.3,2026-08-21
POONAWALLA.NS,Financial Services,1.38,490.05,4.56,2026-08-21
ITCHOTELS.NS,Consumer Services,1.37,164.98,1.13,2026-08-21
INDUSINDBK.NS,Financial Services,1.36,1005.6,-1.08,2026-08-21
M&MFIN.NS,Financial Services,1.36,381.6,5.0,2026-08-21
BALKRISIND.NS,Automobile and Auto Components,1.35,2350.8,14.9,2026-08-21
GRAVITA.NS,Metals & Mining,1.35,1821.7,0.55,2026-08-21
HINDUNILVR.NS,Fast Moving Consumer Goods,1.35,2015.0,-8.1,2026-08-21
ADANIENT.NS,Metals & Mining,1.34,2997.0,-3.01,2026-08-21
GODFRYPHLP.NS,Fast Moving Consumer Goods,1.33,2117.0,-1.18,2026-08-21
FORCEMOT.NS,Automobile and Auto Components,1.32,17770.0,-1.19,2026-08-21
AUBANK.NS,Financial Services,1.31,1108.2,8.45,2026-08-21
HDFCAMC.NS,Financial Services,1.31,2610.0,2.12,2026-08-21
PFOCUS.NS,Media Entertainment & Publication,1.31,296.95,0.61,2026-08-21
TMPV.NS,Automobile and Auto Components,1.31,317.9,-3.86,2026-08-21
AAVAS.NS,Financial Services,1.29,1355.3,-3.76,2026-08-21
IREDA.NS,Financial Services,1.29,115.0,-6.59,2026-08-21
KFINTECH.NS,Financial Services,1.29,980.0,12.21,2026-08-21
PNBHOUSING.NS,Financial Services,1.28,1170.3,9.44,2026-08-21
CHOLAHLDNG.NS,Financial Services,1.27,1561.8,1.02,2026-08-21
DABUR.NS,Fast Moving Consumer Goods,1.26,400.5,-7.4,2026-08-21
IDFCFIRSTB.NS,Financial Services,1.25,86.75,5.65,2026-08-21
PGEL.NS,Consumer Durables,1.25,600.55,2.87,2026-08-21
PPLPHARMA.NS,Healthcare,1.25,213.67,15.84,2026-08-21
HDFCBANK.NS,Financial Services,1.24,726.95,-4.17,2026-08-21
ICICIBANK.NS,Financial Services,1.24,1420.0,-2.1,2026-08-21
