Symbol,Margin,Leverage
20MICRONS,20,5
360ONE,20,5
3MINDIA,20,5
5PAISA,20,5
63MOONS,20,5
AADHARHFC,20,5
AARTIDRUGS,20,5
AARTIIND,20,5
AARTIPHARM,20,5
AAVAS,20,5
ABB,20,5
ABBOTINDIA,20,5
ABCAPITAL,20,5
ABDL,20,5
ABFRL,20,5
ABLBL,20,5
ABREL,20,5
ABSLAMC,20,5
ABSLBANETF,20,5
ACC,20,5
ACCELYA,20,5
ACE,20,5
ACI,20,5
ACMESOLAR,20,5
ACUTAAS,20,5
ADANIENSOL,20,5
ADANIENT,20,5
ADANIGREEN,20,5
ADANIPORTS,20,5
ADANIPOWER,20,5
ADFFOODS,20,5
ADOR,20,5
ADSL,20,5
ADVAIT,20,5
ADVANCE,20,5
ADVENTHTL,20,5
ADVENZYMES,20,5
AEGISLOG,20,5
AEGISVOPAK,20,5
AEQUS,20,5
AEROFLEX,20,5
AETHER,20,5
AFCONS,20,5
AFFLE,20,5
AGARIND,20,5
AGARWALEYE,20,5
AGI,20,5
AGIIL,20,5
AHLUCONT,20,5
AIAENG,20,5
AIIL,20,5
AJANTPHARM,20,5
AJAXENGG,20,5
AJMERA,20,5
AKUMS,20,5
AKZOINDIA,20,5
ALEMBICLTD,20,5
ALIVUS,20,5
ALKEM,20,5
ALKYLAMINE,20,5
ALLCARGO,20,5
ALLTIME,20,5
ALOKINDS,20,5
ALPHA,20,5
ALPHAETF,20,5
ALPL30IETF,20,5
AMANTA,20,5
AMBER,20,5
AMBIKCO,20,5
AMBUJACEM,20,5
AMRUTANJAN,20,5
ANANDRATHI,20,5
ANANTRAJ,20,5
ANDHRSUGAR,20,5
ANGELONE,20,5
ANIKINDS,20,5
ANTELOPUS,20,5
ANTHEM,20,5
ANUP,20,5
ANURAS,20,5
APARINDS,20,5
APEX,20,5
APLAPOLLO,20,5
APLLTD,20,5
APOLLO,20,5
APOLLOHOSP,20,5
APOLLOPIPE,20,5
APOLLOTYRE,20,5
APTECHT,20,5
APTUS,20,5
ARE&amp;M,20,5
ARIES,20,5
ARIHANTCAP,20,5
ARIHANTSUP,20,5
ARISINFRA,20,5
ARKADE,20,5
ARMANFIN,20,5
ARROWGREEN,20,5
ARSSBL,20,5
ARTEMISMED,20,5
ARVIND,20,5
ARVINDFASN,20,5
ARVSMART,20,5
ASAHIINDIA,20,5
ASALCBR,20,5
ASHAPURMIN,20,5
ASHIANA,20,5
ASHIKA,20,5
ASHOKA,20,5
ASHOKLEY,20,5
ASIANENE,20,5
ASIANPAINT,20,5
ASIANTILES,20,5
ASKAUTOLTD,20,5
ASMS,20,5
ASTEC,20,5
ASTERDM,20,5
ASTRAL,20,5
ASTRAMICRO,20,5
ASTRAZEN,20,5
ATGL,20,5
ATHERENERG,20,5
ATLANTAELE,20,5
ATUL,20,5
ATULAUTO,20,5
AUBANK,20,5
AURIONPRO,20,5
AUROPHARMA,20,5
AURUM,20,5
AUTOAXLES,20,5
AUTOBEES,20,5
AUTOIETF,20,5
AVADHSUGAR,20,5
AVALON,20,5
AVANTEL,20,5
AVANTIFEED,20,5
AVL,20,5
AWFIS,20,5
AWHCL,20,5
AWL,20,5
AXISBANK,20,5
AXISGOLD,20,5
AXISILVER,20,5
AZAD,20,5
BAJAJ-AUTO,20,5
BAJAJCON,20,5
BAJAJELEC,20,5
BAJAJFINSV,20,5
BAJAJHCARE,20,5
BAJAJHFL,20,5
BAJAJHIND,20,5
BAJAJHLDNG,20,5
BAJEL,20,5
BAJFINANCE,20,5
BALAJITELE,20,5
BALAMINES,20,5
BALAXI,20,5
BALKRISIND,20,5
BALMLAWRIE,20,5
BALRAMCHIN,20,5
BALUFORGE,20,5
BANARISUG,20,5
BANCOINDIA,20,5
BANDHANBNK,20,5
BANKBARODA,20,5
BANKBEES,20,5
BANKIETF,20,5
BANKINDIA,20,5
BANKNIFTY1,20,5
BANSALWIRE,20,5
BASF,20,5
BATAINDIA,20,5
BAYERCROP,20,5
BBETF0432,20,5
BBL,20,5
BBOX,20,5
BBTC,20,5
BCG,100,1
BCLIND,20,5
BDL,20,5
BECTORFOOD,20,5
BEL,20,5
BELRISE,20,5
BEML,20,5
BEPL,20,5
BERGEPAINT,20,5
BESTAGRO,20,5
BFINVEST,20,5
BHAGCHEM,20,5
BHARATFORG,20,5
BHARATRAS,20,5
BHARATWIRE,20,5
BHARTIARTL,20,5
BHARTIHEXA,20,5
BHEL,20,5
BIGBLOC,20,5
BIKAJI,20,5
BIOCON,20,5
BIRLACORPN,20,5
BIRLANU,20,5
BLACKBUCK,20,5
BLISSGVS,20,5
BLKASHYAP,20,5
BLS,20,5
BLSE,20,5
BLUECLOUDS,20,5
BLUEDART,20,5
BLUEJET,20,5
BLUESTARCO,20,5
BLUESTONE,20,5
BLUSPRING,20,5
BMWVENTLTD,20,5
BOMDYEING,20,5
BOROLTD,20,5
BORORENEW,20,5
BOSCHLTD,20,5
BPCL,20,5
BPL,20,5
